lat,lng,comment
44.9037951,-93.1699225,[Start]10:27AM
44.903836,-93.1699232,10:27AM
44.9038475,-93.1699185,10:28AM
44.9038256,-93.1699363,10:28AM
44.9037915,-93.1699228,10:29AM
44.9038396,-93.1699262,10:29AM
44.9037207,-93.1696177,10:45AM
44.9037206,-93.1697293,10:45AM
44.9011909,-93.1719034,10:47AM
44.882922,-93.2104757,10:51AM
44.9000549,-93.1744856,[End]10:55AM
